platform,listing_id,title,category,brand,condition,listed_price,sold_price,date_listed,date_sold,status,days_to_sell,days_active
depop,D0391,Pacsun Utility Cargo Khaki Green Cargo,bottoms,PacSun,good,5.4,5.4,2025-08-17,2025-08-18,sold,1.0,
depop,D0392,Urban Outfitters Kimchi Blue Knit Flowy,tops,Kimchi Blue,good,5.4,5.4,2025-07-05,2025-08-18,sold,44.0,
depop,D0393,Cream And White Knit Textured Tube,tops,Other,good,5.4,5.4,2025-08-13,2025-08-18,sold,5.0,
depop,D0394,Princess Polly Ruched Tight Mesh Red,dresses,Princess Polly,good,6.0,6.0,2025-08-17,2025-08-18,sold,1.0,
depop,D0395,Blue Tube Top #Croptop Small Nick,tops,Other,good,5.0,5.0,2025-08-17,2025-08-18,sold,1.0,
depop,D0396,Brandy Melville John Galt Red Graphic,tops,Brandy Melville,good,6.0,6.0,2025-08-17,2025-08-19,sold,2.0,
depop,D0397,Black Mesh Long Sleeve Shirt Sheer,tops,Other,good,6.0,6.0,2025-08-17,2025-08-19,sold,2.0,
depop,D0398,Brown Pacsun Parachute Pants #Cargopants 98%,bottoms,PacSun,good,5.4,5.4,2025-07-24,2025-08-19,sold,26.0,
depop,D0399,Pacsun La Hearts Navy Blue Dark,tops,PacSun,good,5.4,5.4,2025-08-13,2025-08-19,sold,6.0,
depop,D0400,Double Silver Chrome Cross Necklace Hearts,accessories,Other,good,32.0,32.0,2025-08-18,2025-08-20,sold,2.0,
depop,D0401,Urban Outfitters Grey Loose Fit Off,tops,Urban Outfitters,good,6.0,6.0,2025-08-17,2025-08-20,sold,3.0,
depop,D0402,Princess Polly White Long Maxi Bodycon,dresses,Princess Polly,good,6.0,6.0,2025-08-17,2025-08-20,sold,3.0,
depop,D0403,Brown Strappy Halter Top #Y2Kfashion Small,tops,Other,good,6.0,6.0,2025-08-17,2025-08-20,sold,3.0,
depop,D0404,Brandy Melville John Galt Black Crop,tops,Brandy Melville,good,5.4,5.4,2025-08-17,2025-08-21,sold,4.0,
depop,D0405,Urban Outfitters Out From Under Go,tops,Urban Outfitters,good,5.4,5.4,2025-08-17,2025-08-21,sold,4.0,
depop,D0406,Black Mesh Long Sleeve Top Coverup,tops,Other,good,6.0,6.0,2025-08-17,2025-08-21,sold,4.0,
depop,D0407,Grey Ruffled Shorts With Drawstring Frilled,bottoms,Other,good,11.0,11.0,2025-08-13,2025-08-21,sold,8.0,
depop,D0408,Black Satin Midi Skirt With A,bottoms,Other,good,6.0,6.0,2025-08-17,2025-08-21,sold,4.0,
depop,D0409,Ucla Merch Navy Russell Athletic Sportswear,tops,Russell Athletic,good,6.0,6.0,2025-08-17,2025-08-21,sold,4.0,
depop,D0410,Grey And Blue Floral Bodysuit Lingerie,tops,Other,good,6.0,6.0,2025-08-17,2025-08-21,sold,4.0,
depop,D0411,Bundle For @Kixies Black Dresses Mesh,tops,Other,good,15.0,15.0,2025-08-17,2025-08-22,sold,5.0,
depop,D0412,Similar To Realisation Par White Hercules,tops,Other,good,6.0,6.0,2025-07-24,2025-08-22,sold,29.0,
depop,D0413,Navy Blue Cami Top With Button-Up,tops,Other,good,5.4,5.4,2025-08-17,2025-08-22,sold,5.0,
depop,D0414,Green And Grey Spandex Shorts With,bottoms,Other,good,5.4,5.4,2025-08-17,2025-08-22,sold,5.0,
depop,D0415,Edikted Drop Shoulder Light Knit Sweater,tops,Edikted,good,19.8,19.8,2025-08-17,2025-08-22,sold,5.0,
depop,D0416,White And Pink Floral Lace Lingerie,tops,Other,good,5.4,5.4,2025-08-17,2025-08-22,sold,5.0,
depop,D0417,Navy And White Sailor Bikini Red,dresses,Other,good,5.4,5.4,2025-08-17,2025-08-22,sold,5.0,
depop,D0418,Brown Mesh Sheer Long Sleeve Button,tops,Other,good,6.0,6.0,2025-08-17,2025-08-23,sold,6.0,
depop,D0419,3 Black And Green Sports Top,tops,Other,good,5.4,5.4,2025-08-17,2025-08-24,sold,7.0,
depop,D0420,Princess Polly Lehanna Romper White Romper,jumpsuits,Princess Polly,good,5.1,5.1,2025-08-17,2025-08-26,sold,9.0,
depop,D0421,Princess Polly Dyer Sheer Sleeve Mini,dresses,Princess Polly,good,5.1,5.1,2025-06-23,2025-08-26,sold,64.0,
depop,D0422,Nike Black Running Shorts #Runningessentials,bottoms,Nike,good,4.59,4.59,2025-08-17,2025-08-27,sold,10.0,
depop,D0423,Orange And White Hibiscus Flower Floral,swimwear,Other,good,4.59,4.59,2025-08-17,2025-08-27,sold,10.0,
depop,D0424,Vibrant Multi-Coloured Bikini Patternedset Never Worn,swimwear,Other,good,4.59,4.59,2025-08-17,2025-08-27,sold,10.0,
depop,D0425,Blue Bikini With Matching Hibiscus Flower,swimwear,Other,good,4.59,4.59,2025-08-17,2025-08-27,sold,10.0,
depop,D0426,Yellow Urban Outfitters Crop Cami Tank,tops,Urban Outfitters,good,4.59,4.59,2025-08-17,2025-08-27,sold,10.0,
depop,D0427,Black Lace Crop Corset Bustier Top,tops,Other,good,4.59,4.59,2025-08-17,2025-08-27,sold,10.0,
depop,D0428,Burgundy Lace Vneck Crop Top #Croptop,tops,Other,good,4.59,4.59,2025-08-17,2025-08-27,sold,10.0,
depop,D0429,Blue Bikini Set With Tie Top,swimwear,Other,good,4.59,4.59,2025-08-17,2025-08-27,sold,10.0,
depop,D0430,Pink My Melody Loungewear Set Crop,dresses,Sanrio,good,5.1,5.1,2025-08-17,2025-08-27,sold,10.0,
depop,D0431,Black Wild Fable Micro Denim Shorts,bottoms,Wild Fable,good,6.0,6.0,2025-08-17,2025-08-28,sold,11.0,
depop,D0432,Tan Cream Corset Bustier Crop Top,tops,Other,good,4.0,4.0,2025-08-17,2025-08-28,sold,11.0,
depop,D0433,Hello Kitty Pink Heart Ring Set,accessories,Hello Kitty,good,3.6,3.6,2025-07-09,2025-08-28,sold,50.0,
depop,D0434,Cream Distressed Long Sleeve Knit Top,tops,Other,good,3.6,3.6,2025-08-13,2025-08-28,sold,15.0,
depop,D0435,Pink Victoria'S Secret Tank Bodysuit Pink,tops,Victoria's Secret PINK,good,3.6,3.6,2025-08-17,2025-08-28,sold,11.0,
depop,D0436,Pink Victoria'S Secret Black Tank Bodysuit,tops,Victoria's Secret PINK,good,3.6,3.6,2025-08-17,2025-08-28,sold,11.0,
depop,D0437,White Halter Tie Lace Up Back,tops,Other,good,3.6,3.6,2025-08-17,2025-08-28,sold,11.0,
depop,D0438,Silver Metallic Bikini Set #Festivalvibes,swimwear,Other,good,3.6,3.6,2025-08-17,2025-08-28,sold,11.0,
depop,D0439,H&M Divided Khaki Green Mini Short,bottoms,H&M,good,3.6,3.6,2025-08-27,2025-08-28,sold,1.0,
depop,D0440,Black Banana Republic Baby Tee Graphic,tops,Banana Republic,good,6.0,6.0,2025-08-25,2025-08-28,sold,3.0,
depop,D0441,Princess Polly Red Mesh Bodycon Tight,dresses,Princess Polly,good,4.0,4.0,2025-08-17,2025-08-28,sold,11.0,
depop,D0442,Hollister Gilly Hicks White Lace Floral,accessories,Gilly Hicks,good,5.0,5.0,2025-08-27,2025-08-30,sold,3.0,
depop,D0443,White Long Sleeve Button Up Shirt,tops,Other,good,6.0,6.0,2025-08-27,2025-08-31,sold,4.0,
depop,D0444,Jacquard Fabric Designer 100% Polyester Medium,other,Louis Vuitton,good,20.0,20.0,2025-08-27,2025-08-31,sold,4.0,
depop,D0445,Black Chanel Ballet Flats With Bow,footwear,Chanel,good,275.0,275.0,2025-08-27,2025-09-01,sold,5.0,
depop,D0446,Brandy Melville John Galt Light Wash,bottoms,Brandy Melville,good,6.0,6.0,2025-06-23,2025-09-01,sold,70.0,
depop,D0447,Doc Martens Youth 1460 Softy T,footwear,Dr. Martens,good,18.0,18.0,2025-08-25,2025-09-01,sold,7.0,
depop,D0448,Pacsun High Rise Bootcut Flare Light,bottoms,PacSun,good,6.0,6.0,2025-08-27,2025-09-01,sold,5.0,
depop,D0449,Free People We The Free Baby,accessories,Free People,good,150.0,150.0,2025-09-01,2025-09-01,sold,0.0,
depop,D0450,Grey Cross Back Bodycon Tight Long,dresses,Other,good,6.0,6.0,2025-08-17,2025-09-01,sold,15.0,
depop,D0451,White Brandy Melville Crop Zip-Up Hoodie,tops,Brandy Melville,good,6.0,6.0,2025-08-27,2025-09-02,sold,6.0,
depop,D0452,Hysteric Glamour “Your Judgement Day Has,tops,Hysteric Glamour,good,60.0,60.0,2025-08-27,2025-09-02,sold,6.0,
depop,D0453,Victorias Secret Babydoll Teddy Lace Apron,tops,Victoria's Secret,good,28.0,28.0,2025-09-01,2025-09-03,sold,2.0,
depop,D0454,White Corset Crop Top With Lace,tops,Other,good,6.0,6.0,2025-08-17,2025-09-03,sold,17.0,
depop,D0455,Silver Chrome Cross Pendant With Gemstone,accessories,Other,good,6.0,6.0,2025-08-25,2025-09-03,sold,9.0,
depop,D0456,Light Blue Striped Collared Nike Zip-Up,outerwear,Nike,good,17.0,17.0,2025-08-13,2025-09-03,sold,21.0,
depop,D0457,Caliber By Leatherforce Genuine Leather Shell,outerwear,Other,good,20.0,20.0,2025-08-13,2025-09-03,sold,21.0,
depop,D0458,Bape A Bathing Ape Japan Black,tops,BAPE,good,60.0,60.0,2025-08-27,2025-09-04,sold,8.0,
depop,D0459,Corset And Dress Bundle For @Lilliewesttt,dresses,Other,good,18.0,18.0,2025-09-04,2025-09-04,sold,0.0,
depop,D0460,Dark Grey Pacsun Ribbed La Hearts,tops,PacSun,good,6.0,6.0,2025-08-17,2025-09-05,sold,19.0,
depop,D0461,Blue Ucla Tank Top Workout Shirt,tops,Other,good,3.6,3.6,2025-07-24,2025-09-09,sold,47.0,
depop,D0462,Navy Blue Bandeau Top With Cutout,tops,Other,good,3.6,3.6,2025-08-25,2025-09-09,sold,15.0,
depop,D0463,Pacsun La Hearts Black Knitted Cardigan,tops,PacSun,good,5.95,5.95,2025-08-13,2025-09-10,sold,28.0,
depop,D0464,White Long Sleeve Top Fitted Low,tops,Other,good,6.0,6.0,2025-08-17,2025-09-13,sold,27.0,
depop,D0465,Pacsun Kendall And Kylie Cream Lace,tops,KENDALL + KYLIE,good,6.0,6.0,2025-08-25,2025-09-13,sold,19.0,
depop,D0466,Black Ribbed Long Sleeve Romper With,jumpsuits,Other,good,6.0,6.0,2025-08-17,2025-09-17,sold,31.0,
depop,D0467,Grey Asymmetrical One Shoulder Tank Top,tops,Other,good,5.4,5.4,2025-07-24,2025-09-18,sold,56.0,
depop,D0468,Cute Blue And White Hibiscus Flower,tops,Other,good,5.4,5.4,2025-08-17,2025-09-18,sold,32.0,
depop,D0469,Nike Air Zoom Pegasus 37 Sneakers,footwear,Nike,good,14.4,14.4,2025-07-29,2025-09-27,sold,60.0,
